energy,Cu66 + photon [inclusive] width,n + Cu65 width,J,Pi,L
16247.73,0.288403,0.03763742,1,1,1
17741.32,0.3152797,10.96428,1,1,1
19360.39,0.3833212,4.323481,1,1,1
21007.74,0.3220286,0.7393462,1,1,1
22887.16,0.3023893,0.3701139,1,1,1
22991.85,0.3698825,0.008205034,1,1,1
28225.84,0.3452191,1.916438,1,1,1
28731.15,0.3047189,0.3168741,1,1,1
29219.45,0.3813444,3.287562,1,1,1
29595.63,0.3487077,0.06582209,1,1,1
30748.16,0.3161163,0.3020531,1,1,1
31989.51,0.3611104,0.04801999,1,1,1
32217.99,0.3340403,0.2590016,1,1,1
32456.37,0.445246,6.946228,1,1,1
33443.4,0.3981225,37.94369,1,1,1
33669.82,0.3726126,13.60483,1,1,1
37127.61,0.3317756,0.5654778,1,1,1
37772.49,0.3217235,0.3377192,1,1,1
37824.11,0.3618617,0.0574687,1,1,1
38310.07,0.331365,0.47701,1,1,1
38640.71,0.3660005,0.04414233,1,1,1
39494.56,0.3624168,1.386902,1,1,1
40656.19,0.446242,13.04453,1,1,1
42643.54,0.3338619,0.2723851,1,1,1
43633.26,0.3532013,0.267881,1,1,1
43792.42,0.3587197,92.41333,1,1,1
44819.22,0.3364781,0.2150965,1,1,1
45420.88,0.3377363,0.2185698,1,1,1
45639.11,0.3353656,0.4838028,1,1,1
46142.78,0.3678219,0.05015504,1,1,1
47130.44,0.4402034,16.4879,1,1,1
48867.2,0.431393,7.424409,1,1,1
52621.64,0.3429864,0.2975467,1,1,1
54796.58,0.3613812,0.1670809,1,1,1
55437.3,0.373543,6.529854,1,1,1
57145.17,0.4034322,57.75879,1,1,1
57217.63,0.3681422,0.1817881,1,1,1
57677.94,0.3393832,4.06578,1,1,1
57797.3,0.3999429,21.13178,1,1,1
59627.89,0.3263953,0.6373284,1,1,1
60374.36,0.3506095,0.675718,1,1,1
62371.22,0.3960779,29.80241,1,1,1
63380.74,0.3573984,0.1394003,1,1,1
63453.86,0.3474761,0.2806765,1,1,1
64285.28,0.3690984,0.1259248,1,1,1
67674.47,0.3623087,0.207485,1,1,1
70221.9,0.3835949,3.249999,1,1,1
70918.71,0.3750259,9.172263,1,1,1
71580.8,0.362978,4.668583,1,1,1
71697.0,0.360755,14.72362,1,1,1
71819.08,0.358371,0.2554702,1,1,1
72393.3,0.4018141,4.876474,1,1,1
73992.29,0.3664495,0.1435774,1,1,1
75089.34,0.3477774,1.143732,1,1,1
75183.35,0.3682581,0.1600185,1,1,1
76165.8,0.3660875,1.508004,1,1,1
76293.54,0.3464539,1.219434,1,1,1
76975.46,0.3826361,24.6995,1,1,1
77819.34,0.3568826,0.449019,1,1,1
78670.14,0.3838222,115.8947,1,1,1
79161.59,0.3618448,0.2221162,1,1,1
79462.36,0.3757119,16.19474,1,1,1
80610.02,0.3533515,19.23359,1,1,1
81055.35,0.346166,4.167459,1,1,1
82185.2,0.3809417,197.0154,1,1,1
82498.3,0.3575299,4.147562,1,1,1
82672.8,0.3890021,5.18783,1,1,1
83097.78,0.3760475,37.01381,1,1,1
84117.49,0.3964181,8.189137,1,1,1
85717.14,0.3586722,0.404934,1,1,1
88124.2,0.4042441,24.39326,1,1,1
88426.89,0.3561753,0.6016311,1,1,1
88867.34,0.370428,18.22939,1,1,1
89787.52,0.3660034,44.36742,1,1,1
90913.78,0.3572585,0.9223691,1,1,1
91135.33,0.375777,22.58886,1,1,1
91622.37,0.3590676,1.36273,1,1,1
91852.66,0.3665221,15.54504,1,1,1
92915.09,0.3917849,27.36557,1,1,1
93258.46,0.394168,18.9542,1,1,1
93733.82,0.3598925,14.13022,1,1,1
94230.66,0.3721405,28.83876,1,1,1
94414.31,0.3779059,31.35778,1,1,1
95027.3,0.3739144,11.47781,1,1,1
96327.9,0.3700766,0.5003937,1,1,1
97971.63,0.3527381,18.08633,1,1,1
98322.28,0.3433307,0.7407935,1,1,1
98492.07,0.3511157,25.89078,1,1,1
100519.5,0.37,17.69344,1,1,1
101344.5,0.37,47.2421,1,1,1
101520.5,0.37,24.60609,1,1,1
101691.6,0.37,0.6773293,1,1,1
101953.0,0.37,13.72331,1,1,1
103152.6,0.37,50.10022,1,1,1
103569.0,0.37,0.9939576,1,1,1
104943.7,0.37,29.34588,1,1,1
